f,seed,target,n_classes,chance_balanced,abs_err,rel_err,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=22",0.6816563937841826,0.6858265447370397,0.5632624607877309,0.566424003400251,61.87026906013489
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=19",0.6431113811962844,0.6503917690922796,0.5712791913558731,0.577831648034477,62.2496817111969
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.5719762983617985,0.5537874744239837,1.420504093170166
16,1,B_gender,2,0.5,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.5981178110840014,0.5722600302464194,1.4784958362579346
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.36867410968951186,0.3810260103939786,0.3539765319426336,0.3386799960598344,0.25046777725219727
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.35294597017358,0.38036391688061877,0.33604954367666234,0.3360030461541382,0.22349905967712402
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.3715263629696031,0.3817100964880989,0.3536505867014342,0.3407316023686486,0.23150110244750977
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.3947518539646321,0.4240234820368651,0.36277705345501954,0.36843734612491663,1.5674996376037598
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.3337951267215386,0.4175686862027444,0.3109517601043025,0.3636366109966613,1.5360007286071777
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.3570206177165675,0.4269084962286025,0.32301173402868316,0.3707331127855234,2.939074754714966
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.3808165593676147,0.4166222121807566,0.35267275097783574,0.36461956368379167,2.816046714782715
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.35832450493032353,0.4235578396733317,0.3282268578878748,0.3719535607816266,0.4239935874938965
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.36981501100154834,0.44124262749379145,0.34419817470664926,0.3726636719812612,0.43800854682922363
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=13",0.5624643468339988,0.681765396249026,0.4305736636245111,0.3701000390938068,61.721675634384155
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=12",0.48912069106022327,0.6299086366288575,0.3816818774445893,0.3640196420881791,60.95993113517761
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.7623859191655802,0.33675307986886777,1.4959983825683594
16,1,B_race,3,0.3333333333333333,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.766297262059974,0.3333333333333333,1.6485474109649658
16,1,B_age,5,0.2,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.20902941895526037,0.3183450798282323,0.2213168187744459,0.3191175689670339,0.26096153259277344
